"role_name","permission"
"wiki writer","edit any book content"
"wiki writer","edit any labdoo_story content"
"wiki writer","edit own book content"
"wiki writer","edit own labdoo_story content"
"wiki writer","menu view unpublished"
"wiki writer","publish any book content"
"wiki writer","publish editable book content"
"wiki writer","publish own book content"
"wiki writer","revert revisions"
"wiki writer","unpublish any book content"
"wiki writer","unpublish editable book content"
"wiki writer","unpublish own book content"
"wiki writer","use text format filtered_html_advanced"
"wiki writer","view any unpublished book content"
